,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,nathanamorin,pptx
sauravn-cp,0.018,0,0,0,0,0,0,0,0,0,0,0.01333,0
kathy789-cp,0,0,0,0,0,0,0,0.01882,0.01953,0,0,0,0
danzheng-cp,0.01889,0,0,0,0,0,0,0,0,0,0,0,0
chriscoraggio-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
cg505-cp,0,0,0,0,0,0,0.42388,0,0,0,0,0,0
nathanamorin-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
analyst1001-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
rkp7-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
drewatk-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
thesoupgirl-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
lennax-cp,0,0,0,0,0,0.02667,0,0.09474,0,0,0,0,0
saul97-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
pptx-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
emmyzhang-cp,0,0.016,0,0.016,0.015,0.30361,0,0.01,0.016,0.016,0.016,0,0.016
