,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,chriscoraggio,nathanamorin,pptx
sauravn-cp,0,0,0.01875,0,0,0.05091,0,0.024,0,0,0,0,0,0
kathy789-cp,0,0,0,0,0,0.016,0,0.016,0.25831,0,0,0,0,0
danzheng-cp,0,0,0.0672,0,0,0,0,0,0,0,0,0,0,0
chriscoraggio-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cg505-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nathanamorin-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyst1001-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rkp7-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drewatk-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thesoupgirl-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lennax-cp,0.04615,0,0.01917,0,0,0.19,0,0.13037,0,0,0,0,0,0
saul97-cp,0,0,0,0,0,0.03429,0,0.024,0.01895,0,0,0,0,0
pptx-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emmyzhang-cp,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
