,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,chriscoraggio,nathanamorin,pptx
danzheng,1,0,0.03333,0,0,0.01,0,0,0,0,0,0,0.10909,0
thesoupgirl,0,1,0,0.8426,0.81951,0.64842,0,0.03,0.8426,0.89,0.85427,0.74105,0.07652,0.89
sauravn,0.03333,0,1,0,0,0.01833,0,0,0,0,0,0,0.01333,0
saul97,0,0.8426,0,1,0.76948,0.62222,0,0.024,0.8,0.8426,0.80951,0.70713,0.07614,0.8426
drewatk,0,0.81951,0,0.76948,1,0.63754,0,0.024,0.76948,0.81951,0.79,0.6922,0.07614,0.81951
emmyzhang,0.01,0.64842,0.01833,0.62222,0.63754,1,0,0.0375,0.62222,0.64842,0.64397,0.58496,0.07492,0.64842
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lennax,0,0.03,0,0.024,0.024,0.0375,0,1,0.0375,0.03,0.024,0.04,0,0.03
kathy789,0,0.8426,0,0.8,0.76948,0.62222,0,0.0375,1,0.8426,0.80951,0.71724,0.07614,0.8426
rkp7,0,0.89,0,0.8426,0.81951,0.64842,0,0.03,0.8426,1,0.85427,0.74105,0.07652,0.89
analyst1001,0,0.85427,0,0.80951,0.79,0.64397,0,0.024,0.80951,0.85427,1,0.72272,0.07636,0.85427
chriscoraggio,0,0.74105,0,0.70713,0.6922,0.58496,0,0.04,0.71724,0.74105,0.72272,1,0.07536,0.74105
nathanamorin,0.10909,0.07652,0.01333,0.07614,0.07614,0.07492,0,0,0.07614,0.07652,0.07636,0.07536,1,0.07652
pptx,0,0.89,0,0.8426,0.81951,0.64842,0,0.03,0.8426,0.89,0.85427,0.74105,0.07652,1
