,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,nathanamorin,pptx
sauravn-cp,0,0,0,0,0,0.01818,0,0.018,0,0,0,0.01889,0
kathy789-cp,0,0.05143,0,0.036,0.05143,0,0,0.01882,0.08936,0.05143,0.036,0.01895,0.05143
danzheng-cp,0.16485,0,0,0,0,0,0,0,0,0,0,0,0
chriscoraggio-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
cg505-cp,0,0,0,0,0,0,0.42388,0,0,0,0,0,0
nathanamorin-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
analyst1001-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
rkp7-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
drewatk-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
thesoupgirl-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
lennax-cp,0,0.015,0,0.01333,0.01333,0.04444,0,0.09474,0.01333,0.015,0.01333,0.03429,0.015
saul97-cp,0,0,0,0.05455,0,0,0,0,0,0,0,0,0
pptx-cp,0,0,0,0,0,0,0,0,0,0,0,0,0
emmyzhang-cp,0,0.02667,0,0.024,0.01333,0.54345,0,0.01,0.02,0.02667,0.024,0.02,0.02667
