,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,nathanamorin,pptx
danzheng,1,0,0,0,0,0,0,0,0,0,0,0,0
thesoupgirl,0,1,0,0.79264,0.66463,0.30556,0,0.11586,0.77187,0.95,0.85058,0.62887,0.95
sauravn,0,0,1,0,0,0,0,0,0,0,0,0,0
saul97,0,0.79264,0,1,0.56142,0.27018,0,0.10435,0.66466,0.79264,0.72221,0.55583,0.79264
drewatk,0,0.66463,0,0.56142,1,0.26207,0,0.08,0.53945,0.66463,0.59983,0.45278,0.66463
emmyzhang,0,0.30556,0,0.27018,0.26207,1,0,0.06,0.26714,0.30556,0.28387,0.28421,0.30556
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0
lennax,0,0.11586,0,0.10435,0.08,0.06,0,1,0.12308,0.11586,0.1088,0.15355,0.11586
kathy789,0,0.77187,0,0.66466,0.53945,0.26714,0,0.12308,1,0.77187,0.70493,0.55221,0.77187
rkp7,0,0.95,0,0.79264,0.66463,0.30556,0,0.11586,0.77187,1,0.85058,0.62887,0.95
analyst1001,0,0.85058,0,0.72221,0.59983,0.28387,0,0.1088,0.70493,0.85058,1,0.58371,0.85058
nathanamorin,0,0.62887,0,0.55583,0.45278,0.28421,0,0.15355,0.55221,0.62887,0.58371,1,0.62887
pptx,0,0.95,0,0.79264,0.66463,0.30556,0,0.11586,0.77187,0.95,0.85058,0.62887,1
