,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,chriscoraggio,nathanamorin,pptx
danzheng,1,0,0,0,0,0,0,0,0,0,0,0,0,0
thesoupgirl,0,1,0,0.31376,0.66463,0.13371,0,0,0.67211,0.98,0.72312,0.35797,0.11294,0.98
sauravn,0,0,1,0,0,0.05419,0,0.03529,0,0,0,0.01714,0.01333,0
saul97,0,0.31376,0,1,0.22319,0.08842,0,0,0.28889,0.31376,0.28373,0.20952,0.09231,0.31376
drewatk,0,0.66463,0,0.22319,1,0.13939,0,0,0.45917,0.66463,0.4872,0.26494,0.07515,0.66463
emmyzhang,0,0.13371,0.05419,0.08842,0.13939,1,0,0.12308,0.144,0.13371,0.1152,0.1125,0.05143,0.13371
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lennax,0,0,0.03529,0,0,0.12308,0,1,0.02857,0,0,0.024,0.016,0
kathy789,0,0.67211,0,0.28889,0.45917,0.144,0,0.02857,1,0.67211,0.53833,0.31093,0.10759,0.67211
rkp7,0,0.98,0,0.31376,0.66463,0.13371,0,0,0.67211,1,0.72312,0.35797,0.11294,0.98
analyst1001,0,0.72312,0,0.28373,0.4872,0.1152,0,0,0.53833,0.72312,1,0.319,0.10875,0.72312
chriscoraggio,0,0.35797,0.01714,0.20952,0.26494,0.1125,0,0.024,0.31093,0.35797,0.319,1,0.1103,0.35797
nathanamorin,0,0.11294,0.01333,0.09231,0.07515,0.05143,0,0.016,0.10759,0.11294,0.10875,0.1103,1,0.11294
pptx,0,0.98,0,0.31376,0.66463,0.13371,0,0,0.67211,0.98,0.72312,0.35797,0.11294,1
