"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (74%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (12%)","455"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (54%);/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (48%)","654"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (43%);/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (31%)","425"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (41%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (5%)","410"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (32%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (4%)","373"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (26%);/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (32%)","369"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (28%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (3%)","263"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (21%);/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (27%)","258"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (29%);/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (27%)","252"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (26%);/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (27%)","242"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-shiboo18/ (99%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (99%)","106"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-ishwetasingh/ (0%)","75"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (8%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (13%)","168"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (12%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (13%)","151"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (1%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (10%)","111"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (1%)","66"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-meetalivaidya/ (81%);/Users/lord/Documents/2016green21/2016greenironhack2-meetalivaidya/ (51%)","81"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-patrickherrod/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-taycurt17/ (43%)","52"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-pjt90/ (68%);/Users/lord/Documents/2016green21/2016greenironhack2-pjt90/ (42%)","101"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (10%);/Users/lord/Documents/2016green21/2016greenironhack2-lostkuma/ (6%)","69"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-ishwetasingh/ (0%)","44"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-cgrieger12/ (6%);/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (8%)","71"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-cgrieger12/ (5%);/Users/lord/Documents/2016green21/2016greenironhack2-dengc/ (7%)","90"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (7%);/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%)","64"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack-sauravn/ (4%);/Users/lord/Documents/2016green21/2016greenironhack2-MegamindHenry/ (7%)","68"
"http://moss.stanford.edu/results/848869095/","/Users/lord/Documents/2016green21/2016greenironhack2-sauravn/ (0%);/Users/lord/Documents/2016green21/2016greenironhack2-shiboo18/ (39%)","55"
