"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-patrickherrod/ (42%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (34%)","11192"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-ishwetasingh/ (97%);/Users/lord/Documents/2016green32/2016greenironhack3-ishwetasingh/ (96%)","9360"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (16%);/Users/lord/Documents/2016green32/2016greenironhack3-ishwetasingh/ (96%)","9256"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (16%);/Users/lord/Documents/2016green32/2016greenironhack2-ishwetasingh/ (97%)","9256"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (88%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (74%)","4546"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-ankitbatheja/ (98%);/Users/lord/Documents/2016green32/2016greenironhack3-ankitbatheja/ (98%)","202"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (71%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (55%)","854"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (71%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (28%)","663"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (71%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (51%)","760"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (80%);/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (73%)","716"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (4%)","388"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (49%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (27%)","385"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (26%)","378"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (4%);/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (43%)","330"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (30%);/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (4%)","351"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (29%);/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (41%)","331"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (41%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (40%)","301"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (38%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (3%)","299"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (42%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (3%)","301"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-MegamindHenry/ (37%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","292"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-MegamindHenry/ (41%);/Users/lord/Documents/2016green32/2016greenironhack3-patrickherrod/ (0%)","288"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (21%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (37%)","263"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (20%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (10%)","240"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (26%);/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (20%)","239"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (35%)","245"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (3%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%)","229"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (24%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (34%)","235"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (24%);/Users/lord/Documents/2016green32/2016greenironhack2-sauravn/ (3%)","224"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (33%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%)","223"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (24%);/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (33%)","222"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (23%);/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%)","207"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-cgrieger12/ (23%);/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (24%)","207"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-lostkuma/ (9%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (31%)","211"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-lostkuma/ (23%);/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (31%)","211"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-meetalivaidya/ (92%);/Users/lord/Documents/2016green32/2016greenironhack3-meetalivaidya/ (69%)","158"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-taycurt17/ (84%);/Users/lord/Documents/2016green32/2016greenironhack3-taycurt17/ (57%)","125"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-pjt90/ (80%);/Users/lord/Documents/2016green32/2016greenironhack3-pjt90/ (79%)","243"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack2-shiboo18/ (99%);/Users/lord/Documents/2016green32/2016greenironhack3-shiboo18/ (99%)","106"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (17%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (15%)","234"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-pmittal115/ (17%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (11%)","229"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-prachitamane/ (60%);/Users/lord/Documents/2016green32/2016greenironhack2-prachitamane/ (67%)","104"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-cgrieger12/ (8%);/Users/lord/Documents/2016green32/2016greenironhack3-sauravn/ (1%)","160"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (14%);/Users/lord/Documents/2016green32/2016greenironhack2-dengc/ (13%)","178"
"http://moss.stanford.edu/results/967016912/","/Users/lord/Documents/2016green32/2016greenironhack3-abelal16/ (14%);/Users/lord/Documents/2016green32/2016greenironhack3-dengc/ (9%)","181"
