"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (45%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (32%)","425"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-tanmayee123/ (61%)","33"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (33%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (2%)","28"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (33%)","28"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (17%)","12"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-shiboo18/ (10%)","17"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (1%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-shiboo18/ (9%)","15"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (1%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (12%)","7"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pmittal115/ (47%)","10"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (12%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pmittal115/ (47%)","10"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (1%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pmittal115/ (47%)","10"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (11%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-shiboo18/ (6%)","8"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-MegamindHenry/ (19%)","7"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (8%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (6%)","8"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (7%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (5%)","9"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (7%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (5%)","5"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (7%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (6%)","4"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (4%)","5"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (4%)","3"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (4%)","5"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (4%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pmittal115/ (23%)","6"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (5%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (4%)","5"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-cgrieger12/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (4%)","5"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-tanmayee123/ (8%)","4"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-MegamindHenry/ (9%)","4"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (4%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-tanmayee123/ (8%)","3"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (5%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-tanmayee123/ (8%)","4"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-huayifang/ (5%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-MegamindHenry/ (9%)","4"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-MegamindHenry/ (9%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-tanmayee123/ (8%)","3"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-MegamindHenry/ (9%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pjt90/ (4%)","3"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-meetalivaidya/ (4%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-shiboo18/ (3%)","3"
"http://moss.stanford.edu/results/247250602/","/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-lostkuma/ (5%);/Users/lord/Documents/2016greenironhack-phase1-master/2016greenironhack-pmittal115/ (21%)",""
