"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (34%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (4%)","373"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (29%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (3%)","263"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (28%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (28%)","242"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%)","75"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (11%)","118"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (1%)","70"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (43%)","52"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (10%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (6%)","69"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%)","44"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (5%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (7%)","90"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (8%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","65"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (39%)","55"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (4%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (5%)","51"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (6%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (4%)","53"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (12%)","68"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (32%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (4%)","37"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (63%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (10%)","41"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%)","14"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (10%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (19%)","36"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (28%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","27"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (54%)","34"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%)","33"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-cgrieger12/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-aterriqu/ (52%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (16%)","32"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (4%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (3%)","33"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ishwetasingh/ (0%)","7"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-meetalivaidya/ (16%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (8%)","44"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%)","25"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (17%)","19"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (11%)","18"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-huayifang/ (16%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (2%)","22"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-shiboo18/ (14%)","20"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-dengc/ (2%)","19"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-patrickherrod/ (0%)","13"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-MegamindHenry/ (2%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%)","11"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (13%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-prachitamane/ (8%)","13"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-tanmayee123/ (4%)","16"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-lostkuma/ (1%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-pmittal115/ (12%)","17"
"http://moss.stanford.edu/results/997288046/","/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-ankitbatheja/ (0%);/Users/lord/Documents/2016greenironhack-phase2-master/2016greenironhack-taycurt17/ (8%)","31"
