"Source Url","Pair","Match Line"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (16%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ishwetasingh/ (96%)","9258"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (55%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (30%)","406"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (4%)","398"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (46%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (45%)","331"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (23%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (12%)","273"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (22%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (40%)","264"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (40%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (11%)","256"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (38%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (3%)","300"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (38%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","296"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (9%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (34%)","214"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (22%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (14%)","257"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (12%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (1%)","212"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (20%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (12%)","261"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (17%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (1%)","151"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (9%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (11%)","160"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (4%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (1%)","122"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (7%)","113"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (6%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (33%)","85"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (22%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-dengc/ (7%)","166"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (32%)","69"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-shiboo18/ (56%)","82"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ishwetasingh/ (0%)","78"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (2%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","63"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (8%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-lostkuma/ (2%)","59"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-abelal16/ (8%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (23%)","55"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-taycurt17/ (22%)","58"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-ankitbatheja/ (1%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","25"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-MegamindHenry/ (7%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (4%)","60"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (7%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-sauravn/ (0%)","53"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-cgrieger12/ (3%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-patrickherrod/ (0%)","59"
"http://moss.stanford.edu/results/294393391/","/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-huayifang/ (12%);/Users/lord/Documents/2016greenironhack-phase3-master/2016greenironhack-pmittal115/ (6%)","83"
