Cmd arguments are  ['cross-phase-similarity.py', 'skipMoss']
Calculating cross-phase similarity for phases 1 and 2
sauravn 40 cgrieger12 46 439
cp 35 cgrieger12 33 255
cp 34 sauravn 27 258
cp 0 cp 0 81
cgrieger12 12 cp 19 162
sauravn 10 cp 18 150
cp 0 cp 1 66
cp 0 cp 45 42
cp 10 cp 8 69
cp 9 cgrieger12 6 74
cp 0 sauravn 5 42
cp 8 sauravn 5 71
cp 0 shiboo18 39 56
cp 0 cp 0 40
cgrieger12 5 cp 18 62
cp 86 tanmayee123 96 58
cp 38 cgrieger12 4 42
cp 36 sauravn 3 38
cp 4 cp 6 44
cp 14 tanmayee123 80 44
cp 67 cp 13 41
cp 32 cp 5 37
cp 0 cgrieger12 3 33
cp 1 cp 0 13
pjt90 29 cp 11 41
cgrieger12 3 tanmayee123 61 33
cp 54 cgrieger12 3 34
cp 24 pjt90 28 43
cp 52 cp 18 32
tanmayee123 58 cp 18 31
cgrieger12 3 cp 18 31
cp 10 cp 18 31
cp 3 cp 0 30
cp 4 cp 4 36
cp 0 cp 0 7
huayifang 64 sauravn 2 28
huayifang 64 cgrieger12 2 28
meetalivaidya 26 cp 9 42
sauravn 2 cp 9 36
cp 16 prachitamane 96 27
cp 0 sauravn 2 19
cp 20 cp 8 28
cp 0 lostkuma 33 16
cp 20 cp 0 21
cgrieger12 2 cp 13 16
cp 0 cgrieger12 2 28
sauravn 1 cp 13 15
cp 17 cp 36 21
cp 3 cp 13 18
cp 2 lostkuma 29 15
cp 3 cp 7 29
cp 16 pjt90 18 18
cp 43 cp 7 18
cp 0 cp 3 18
huayifang 45 cp 3 22
cp 0 shiboo18 13 15
cp 2 cp 0 23
cp 2 cp 15 20
cp 2 lostkuma 25 12
cp 2 cp 0 13
cp 0 cp 36 13
cp 14 tanmayee123 32 17
cp 17 meetalivaidya 15 19
cp 2 cp 0 11
cp 13 cp 10 13
pjt90 14 tanmayee123 30 18
cp 27 pjt90 14 18
cp 2 MegamindHenry 39 12
cp 0 meetalivaidya 14 21
cp 0 cp 0 15
cp 1 shiboo18 10 16
cp 1 cp 12 17
huayifang 34 cp 12 13
cp 0 cp 9 31
cp 0 cp 9 14
cp 0 cp 9 10
cp 0 cp 5 11
cp 0 pjt90 13 13
cp 0 cp 12 9
cp 0 cp 17 15
cp 17 cp 12 33
prachitamane 51 cp 12 16
cp 0 shiboo18 9 15
cp 1 cp 4 16
cp 1 cp 9 18
cp 1 lostkuma 16 18
cp 12 cp 4 15
cp 9 pmittal115 55 14
cp 24 tanmayee123 22 12
cp 24 pjt90 10 13
cp 24 cp 19 12
cp 9 cp 23 9
cp 23 meetalivaidya 10 12
cp 1 huayifang 25 8
cp 6 cp 3 13
cp 1 pjt90 9 19
cp 1 pjt90 9 11
shiboo18 7 cp 6 13
sauravn 0 lostkuma 14 9
lostkuma 14 cp 6 17
cp 1 cp 3 29
cp 6 cp 9 9
cp 0 tanmayee123 19 8
cp 0 cp 1 9
cp 0 cp 17 8
sauravn 0 shiboo18 7 14
cp 0 cp 8 15
cp 12 huayifang 22 13
cp 12 cgrieger12 1 13
cp 1 shiboo18 7 13
cp 1 cp 12 7
cp 0 cp 1 10
cp 0 cp 3 10
cgrieger12 0 cp 7 8
cp 0 huayifang 21 8
sauravn 0 pmittal115 43 13
