,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17-cp,0.15771,0,0.18872,0,0,0,0,0.10615,0,0,0.06875,0,0,0.06,0,0,0.01818,0.03579,0,0,0,0.01667,0,0,0.13037,0
Christyyy-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmittal115-cp,0,0,0.03579,0,0,0,0,0.11917,0,0,0.01778,0,0,0,0,0,0.30295,0.05455,0,0,0,0.24825,0,0,0.01867,0.01889
cgrieger12-cp,0,0,0,0,0,0,0,0.01714,0,0,0.03,0,0,0.09333,0,0,0.01714,0,0,0,0,0,0.08387,0,0,0
shiboo18-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffkeilmann-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelal16-cp,0,0,0.144,0,0,0,0,0.216,0,0,0.045,0,0,0,0,0,0.44436,0.075,0,0,0,0.05091,0,0,0,0.01875
huayifang-cp,0.02857,0,0,0,0,0,0,0.091,0,0,0,0,0,0.13217,0,0,0.016,0.1088,0,0,0,0,0,0,0,0
ishwetasingh-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aterriqu-cp,0.18162,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15278,0,0,0.43922,0.11586
lheston-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan-cp,0,0,0.05833,0,0,0,0,0,0,0,0.048,0,0.13929,0,0,0,0,0,0,0,0,0.06,0,0,0.08842,0.09545
pjt90-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meetalivaidya-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0
lostkuma-cp,0,0,0,0,0,0,0,0.02857,0,0,0,0,0,0,0,0,0.09333,0,0,0,0,0,0,0,0,0
prachitamane-cp,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.08684,0,0.10476,0,0.05714,0,0,0,0
crloflin-cp,0.12121,0.29419,0,0,0,0,0,0,0,0,0.0887,0,0,0,0,0,0,0,0,0,0,0.03385,0,0,0,0.11917
MegamindHenry-cp,0,0,0,0,0,0,0,0.01333,0,0,0,0,0,0,0,0,0,0.17105,0,0,0,0.01,0,0,0,0
hsu-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mgogte-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccand93-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dengc-cp,0,0,0.09429,0,0,0.016,0,0.17405,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0.39457,0,0,0.035,0.03579
sauravn-cp,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0.045,0.2007,0,0,0,0,0,0,0,0
patrickherrod-cp,0,0,0,0,0.95476,0,0,0,0,0,0,0,0,0,0,0,0,0.01953,0,0,0,0,0,0,0,0
ankitbatheja-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tanmayee123-cp,0.01889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05357,0,0,0.01961,0
