,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17-cp,0.25965,0,0,0,0,0,0,0.01818,0,0.12923,0,0,0,0,0,0,0,0.01833,0,0,0,0,0,0,0.11871,0.01882
Christyyy-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmittal115-cp,0,0,0.16622,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.19902,0,0,0,0,0,0,0,0,0.21878
cgrieger12-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shiboo18-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffkeilmann-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelal16-cp,0.15278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35924,0
huayifang-cp,0.01882,0,0,0,0,0,0.01333,0.02667,0,0,0,0,0,0.11429,0,0,0,0.015,0,0,0,0,0.018,0,0,0.024
ishwetasingh-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aterriqu-cp,0.07765,0,0.05,0,0,0,0,0.06,0,0,0,0,0.28068,0.015,0,0,0,0,0,0,0,0.019,0,0,0.92043,0
lheston-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan-cp,0,0,0,0,0.05833,0,0,0.03,0,0.05053,0,0,0.11769,0,0,0,0,0,0,0,0,0,0,0,0,0
pjt90-cp,0.08842,0,0,0,0,0,0,0.02857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03111
meetalivaidya-cp,0.01667,0,0,0,0.02667,0,0.01846,0.01333,0,0,0.02667,0,0,0,0,0,0,0.024,0,0.11259,0,0,0.04,0,0,0
lostkuma-cp,0,0,0,0,0,0,0.0375,0,0,0,0.01857,0,0,0.01667,0,0,0.05455,0,0,0,0,0,0.018,0,0,0
prachitamane-cp,0,0,0,0,0,0,0.01961,0,0,0,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crloflin-cp,0,0.43909,0,0,0,0,0,0,0,0,0.05333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MegamindHenry-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsu-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mgogte-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccand93-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dengc-cp,0.03556,0.01889,0.01,0,0,0,0,0.12692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01333
sauravn-cp,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrickherrod-cp,0,0,0,0,0,0,0.01333,0.01333,0,0,0,0,0,0,0.01937,0,0,0,0,0,0,0,0,0,0,0
ankitbatheja-cp,0.042,0.03273,0,0,0,0,0.01889,0.02857,0,0,0,0,0,0.05538,0,0,0,0,0,0,0,0,0.03,0,0.03429,0.04364
tanmayee123-cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
