Phase creation metric
Participant,Phase 2-1,Phase 3-2,Phase 4-3,Lines in Phase 1,Lines in Phase 2,Lines in Phase 3,Lines in Phase 4
taycurt17,197.6153846153846,68.05128205128207,-22.866666666666674,0.0,197.6153846153846,265.6666666666667,242.8
crloflin,37.833333333333336,22.049019607843135,29.74264705882353,0.0,37.833333333333336,59.88235294117647,89.625
pmittal115,102.77777777777779,899.8333333333334,1550.8888888888891,20.333333333333332,123.11111111111111,1022.9444444444445,2573.8333333333335
ankitbatheja,2229.4117647058824,123.21981424148589,859.8684210526317,0.0,2229.4117647058824,2352.6315789473683,3212.5
ishwetasingh,4025.0,-671.3333333333335,448.7777777777778,0.0,4025.0,3353.6666666666665,3802.4444444444443
pjt90,96.01904761904761,23.600000000000023,120.7222222222222,105.71428571428571,201.73333333333332,225.33333333333334,346.05555555555554
sauravn,3929.95,2097.641304347826,6166.699604743084,1239.8,5169.75,7267.391304347826,13434.09090909091
dengc,1005.5263157894736,629.2236842105264,746.2023809523807,0.0,1005.5263157894736,1634.75,2380.9523809523807
jeffkeilmann,25.0,6.333333333333332,51.16666666666667,0.0,25.0,31.333333333333332,82.5
Christyyy,25.0,24.666666666666664,107.06060606060606,0.0,25.0,49.666666666666664,156.72727272727272
prachitamane,191.3846153846154,67.97252747252745,99.46638655462186,0.0,191.3846153846154,259.35714285714283,358.8235294117647
wluan,157.4,120.52857142857144,146.43984962406012,0.0,157.4,277.92857142857144,424.36842105263156
huayifang,50.583333333333336,380.5208333333333,1066.1940789473683,36.333333333333336,86.91666666666667,467.4375,1533.6315789473683
patrickherrod,4052.6315789473683,10677.0,-81.31339712918634,0.0,4052.6315789473683,14729.631578947368,14648.318181818182
lheston,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lostkuma,1146.0,1417.0294117647059,354.67058823529396,66.5,1212.5,2629.529411764706,2984.2
MegamindHenry,918.6041666666666,57.11805555555554,-36.68055555555554,27.833333333333332,946.4375,1003.5555555555555,966.875
shiboo18,59.87692307692306,5.2008547008547055,5.922222222222217,114.2,174.07692307692307,179.27777777777777,185.2
meetalivaidya,88.45535714285714,24.610576923076934,168.76113360323885,104.85714285714286,193.3125,217.92307692307693,386.6842105263158
hsu,92.7,31.299999999999997,-19.599999999999994,0.0,92.7,124.0,104.4
tanmayee123,383.656862745098,3080.176470588235,433.1578947368421,41.166666666666664,424.8235294117647,3505.0,3938.157894736842
cgrieger12,232.3499999999999,360.85000000000014,216.1181818181817,965.5,1197.85,1558.7,1774.8181818181818
mgogte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aterriqu,58.583333333333336,138.49358974358972,157.86057692307693,0.0,58.583333333333336,197.07692307692307,354.9375
abelal16,42.583333333333336,603.3640350877192,7.9415204678363125,0.0,42.583333333333336,645.9473684210526,653.8888888888889
ccand93,0.0,0.0,0.0,0,0.0,0.0,0.0
