,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crloflin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pmittal115,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0,0,0.093,0,0,0.068,0,0,0.02,0,0,0
ankitbatheja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ishwetasingh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pjt90,0,0,0,0,0,1,0,0,0,0,0,0,0.074,0,0,0.062,0.059,0,0,0,0.246,0.018,0,0,0
sauravn,0,0,0,0,0,0,1,0,0,0,0,0,0.039,0,0,0.019,0,0.018,0,0,0,0.428,0,0,0
dengc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeffkeilmann,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christyyy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prachitamane,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
huayifang,0,0,0.3,0,0,0.074,0.039,0,0,0,0,0,1,0,0,0.091,0.105,0,0.059,0,0.089,0.039,0,0,0
patrickherrod,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lheston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lostkuma,0,0,0.093,0,0,0.062,0.019,0,0,0,0,0,0.091,0,0,1,0,0.082,0.072,0,0,0.019,0,0,0
MegamindHenry,0,0,0,0,0,0.059,0,0,0,0,0,0,0.105,0,0,0,1,0,0,0,0.093,0,0,0,0
shiboo18,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0.082,0,1,0.034,0,0,0.018,0,0,0
meetalivaidya,0,0,0.068,0,0,0,0,0,0,0,0,0,0.059,0,0,0.072,0,0.034,1,0,0,0,0,0,0
hsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tanmayee123,0,0,0,0,0,0.246,0,0,0,0,0,0,0.089,0,0,0,0.093,0,0,0,1,0.057,0,0,0
cgrieger12,0,0,0.02,0,0,0.018,0.428,0,0,0,0,0,0.039,0,0,0.019,0,0.018,0,0,0.057,1,0,0,0
mgogte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aterriqu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abelal16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
