,taycurt17,crloflin,pmittal115,ankitbatheja,ishwetasingh,pjt90,sauravn,dengc,jeffkeilmann,Christyyy,prachitamane,ccand93,wluan,huayifang,patrickherrod,lheston,lostkuma,MegamindHenry,shiboo18,meetalivaidya,hsu,tanmayee123,cgrieger12,mgogte,aterriqu,abelal16
taycurt17,1,0.097,0.033,0,0,0.02,0,0.067,0,0.033,0,0,0,0.037,0,0,0.018,0.016,0.113,0.044,0,0.019,0.119,0,0.119,0.168
crloflin,0.097,1,0.019,0,0,0,0,0,0,0,0.065,0,0,0.018,0,0,0,0,0.044,0.047,0,0,0,0,0,0.018
pmittal115,0.033,0.019,1,0,0,0.049,0,0.305,0,0,0.016,0,0.051,0.093,0,0,0.166,0.04,0,0,0,0.064,0.34,0,0.065,0.516
ankitbatheja,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ishwetasingh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0
pjt90,0.02,0,0.049,0,0,1,0,0.051,0,0,0,0,0.034,0.042,0,0,0,0.017,0,0,0.029,0,0,0,0.05,0.044
sauravn,0,0,0,0,0,0,1,0.018,0,0,0,0,0,0,0,0,0.016,0.056,0,0,0,0,0.036,0,0,0.019
dengc,0.067,0,0.305,0,0,0.051,0.018,1,0,0,0,0,0.018,0.119,0,0,0.015,0.01,0,0,0,0.061,0.139,0,0.018,0.162
jeffkeilmann,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christyyy,0.033,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019
prachitamane,0,0.065,0.016,0,0,0,0,0,0,0,1,0,0.044,0,0,0,0,0.047,0.024,0.05,0,0,0.017,0,0,0
ccand93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wluan,0,0,0.051,0,0,0.034,0,0.018,0,0,0.044,0,1,0,0,0,0,0,0,0,0.04,0,0,0,0.195,0.016
huayifang,0.037,0.018,0.093,0,0,0.042,0,0.119,0,0,0,0,0,1,0,0,0,0.067,0.03,0.013,0,0,0.031,0,0.013,0.034
patrickherrod,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lheston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lostkuma,0.018,0,0.166,0,0,0,0.016,0.015,0,0,0,0,0,0,0,0,1,0.032,0,0,0,0,0.18,0,0,0.202
MegamindHenry,0.016,0,0.04,0,0,0.017,0.056,0.01,0,0,0.047,0,0,0.067,0,0,0.032,1,0,0,0,0,0.058,0,0,0.051
shiboo18,0.113,0.044,0,0,0,0,0,0,0,0,0.024,0,0,0.03,0,0,0,0,1,0.048,0.037,0,0,0,0,0
meetalivaidya,0.044,0.047,0,0,0,0,0,0,0,0,0.05,0,0,0.013,0,0,0,0,0.048,1,0.027,0,0,0,0,0.03
hsu,0,0,0,0,0,0.029,0,0,0,0,0,0,0.04,0,0,0,0,0,0.037,0.027,1,0,0,0,0,0
tanmayee123,0.019,0,0.064,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0,0.019,0.017
cgrieger12,0.119,0,0.34,0,0,0,0.036,0.139,0,0,0.017,0,0,0.031,0,0,0.18,0.058,0,0,0,0.015,1,0,0.052,0.527
mgogte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aterriqu,0.119,0,0.065,0,0,0.05,0,0.018,0,0,0,0,0.195,0.013,0,0,0,0,0,0,0,0.019,0.052,0,1,0.042
abelal16,0.168,0.018,0.516,0,0,0.044,0.019,0.162,0,0.019,0,0,0.016,0.034,0,0,0.202,0.051,0,0.03,0,0.017,0.527,0,0.042,1
